week,tokens,tokens_ma,wow_pct,growth_4w_pct,yoy_pct,effective_price,like_for_like_index,price_coverage,spend_usd,volume_index,price_index,spend_index,elasticity_rolling,elasticity_arc
2025-09-15,4917372773961.0,4917372773961.0,,,,0.783832163534918,100.0,0.6319642067298041,3854394.940321552,100.0,100.0,100.0,,
2025-09-22,5257980070812.0,5087676422386.5,6.926611272072369,,,0.740948266788102,100.0,0.7020308618845622,3895891.220274533,106.92661127207236,94.52894398292887,101.07659647222138,,
2025-09-29,5380323659290.0,5185225501354.333,2.3268172726091496,,,0.7474436094124547,100.0,0.6233692805782974,4021488.535706944,109.41459813216659,95.35760896078077,104.33514463288114,,
2025-10-06,5019711272244.0,5143846944076.75,-6.702429256711062,,,1.028659694140692,100.0,0.5998739334134815,5163574.661981097,102.08116209584341,131.23468798494483,133.96589456788587,,
2025-10-13,4644497398186.0,5075628100133.0,-7.474809878661914,3.218290201833196,,1.0335430928785665,100.0,0.6062234564395901,4800288.205787613,94.45078930725043,131.8577038504652,124.54064204918114,,
2025-10-20,4886312194357.0,4982711131019.25,5.206479311743095,-2.0631282859379096,,1.0179121330383951,100.0,0.5998879537859181,4973836.468449456,99.36835011231048,129.8635320663324,129.04324921188575,,
2025-10-27,5511159006188.0,5015419967743.75,12.787697285339439,-3.2747955429562547,,0.9972486443484849,100.0,0.6261370247939615,5495995.847709926,112.07527392210899,127.22731864575492,142.59036587598425,,
2025-11-03,5828207285497.0,5217543971057.0,5.752842169006822,1.4327220032297694,,0.9721679929040098,100.0,0.6111106485210192,5665996.578970146,118.52278754132996,124.02757096873096,147.00093443194126,,
2025-11-10,5927714421614.0,5538348226914.0,1.7073369432932584,9.116509674317452,,0.8092993013215063,100.0,0.5944741992768806,4797295.139845626,120.5463708792441,103.2490549598956,124.4629887212703,,
2025-11-17,6271832101668.0,5884728203741.75,5.805233781156138,18.102937316737155,,0.7292907170927351,100.0,0.5380107826031564,4573988.930910692,127.54436952348374,93.04169323746393,118.66944103369717,,
2025-11-24,7184885909341.0,6303159929530.0,14.558007817686525,25.675615802230745,,0.5286814387646942,100.0,0.5867973121167764,3798515.819910578,146.11228880973147,67.44829612253372,98.55024922779936,,
2025-12-01,6183689082546.0,6392030378792.25,-13.93476304882384,22.510330804118084,,1.135380133110176,100.0,0.511014595413157,7020837.73365302,125.75188757888225,144.84990358010455,182.15148790817238,,
2025-12-08,5772746635719.0,6353288432318.5,-6.645587146140974,14.714499197508735,,1.1841827477138152,100.0,0.4694948289668759,6835986.972941408,117.3949363019104,151.0760597489902,177.3556441097631,-0.3745947250941726,1.9417773047548004
2025-12-15,5840500610903.0,6245455559627.25,1.1736869718960152,6.129889833418889,,1.1430434116899268,100.0,0.4357327975455058,6675945.744263668,118.77278537495155,145.82757187904127,173.2034689653969,-0.3777116918881156,0.7618745019829537
2025-12-22,5664949208500.0,5865471384417.0,-3.0057595075888233,-6.943954302388078,,1.010615250010043,100.0,0.475933114831033,5725084.060642422,115.20276108611588,128.93260790069917,148.53392424194104,-0.4283097982344213,0.3163452539956612
2025-12-29,5566541388683.0,5711184460951.25,-1.7371350773868088,-10.651481258598828,,1.012769396155467,100.0,0.4754604920697772,5637622.7608908955,113.20153351317084,129.2074302728393,146.26479248181502,-0.39185535568299984,0.3789038292691047
2026-01-05,6419683711082.0,5872918729792.0,15.326254900996016,-7.56096166015241,,1.3454470855178722,100.0,0.5089856322426635,8637344.739021836,130.55108909123584,171.64989497881652,224.09080731880752,-0.3849299795350509,0.6089433763993766
2026-01-12,7643272557692.0,6323611716489.25,19.05995531365161,1.2514084219448884,,1.627059330004665,99.85750190788963,0.5368404082515184,12436057.926761387,155.43406833351088,207.57751540418678,322.6461771383477,-0.28674151077422283,0.8946191037986014
2026-01-19,7493679593018.0,6780794312618.75,-1.9571847470420733,15.605274805934943,,1.2639024311502156,99.85750190788963,0.5389808338371131,9471279.85587621,152.39193645638045,161.24656399021467,245.7267613340648,-0.265379282057022,1.193792899182507
2026-01-26,8249934351918.0,7451642553427.5,10.091901441911343,30.474555748920086,,1.3644881978381576,99.85750190788963,0.5038003580931175,11256938.0561317,167.77118048897853,174.07912832826392,292.05460858125224,-0.22513173318884702,1.0753698714675684
2026-02-02,9804326929861.0,8297803358122.25,18.84127208335451,41.28925905324306,,1.1492956776901282,99.85750190788963,0.5326328966513805,11268070.563150171,199.38140508236276,146.62522554663317,292.34343490006074,-0.2668028918833412,1.14477819438743
2026-02-09,13014630127221.0,9640642750504.5,32.743738762753736,52.454691760499216,,1.0731682227723345,99.85750190788963,0.5418605470849313,13966887.48366904,264.6663315040394,136.91301182801325,362.36264575689427,-0.3975788737512458,1.523038270913975
2026-02-16,13947727801492.0,11254154802623.0,7.169605783258959,65.97103943529933,,0.9856068341914582,99.85750190788963,0.5957023802983316,13746975.842592718,283.6418641138924,125.74207592433805,356.6571681272983,-0.6331342464175169,1.419408567673366
2026-02-23,13615671189056.0,12595589011907.5,-2.380721915152939,69.03104143279069,,1.2926110317991253,99.85750190788963,0.5196138332334034,17599766.784323297,276.88914009438463,164.90915937535934,456.61555333131065,-0.6473534412983019,1.993519797985584
2026-03-02,14788910154996.0,13841734818191.25,8.616827989229247,66.81203712356427,,1.0769301295675653,99.85750190788963,0.5287581140188565,15926622.929382924,300.7482010171737,137.3929496221279,413.20682431298155,-0.6375883293375694,3.6500236218335154
2026-03-09,16874474880619.0,14806696006540.75,14.10222054069652,53.58619118798804,,1.0798145136635742,99.29077309745554,0.5117988149229564,18221302.886543807,343.16037559679285,137.76093453397448,472.7409403724388,-0.5871464625522631,8.189587074584626
2026-03-16,20296794834531.0,16393962764800.5,20.281045651042273,45.67031511757389,,1.2519748482901778,99.29077309745554,0.5070907683750465,25411076.633738816,412.7568880278665,159.7248628640135,659.2753733642796,-0.3019451328319046,20.665427222879742
2026-03-23,22639924441575.0,18650026077930.25,11.54433311341172,48.06791536544313,,1.2335142177433365,99.29077309745554,0.5661893640189751,27926668.68731763,460.4069181303553,157.3696864109846,724.5409232762186,-0.4248989992102801,18.240320537609257
2026-03-30,27005556400914.0,21704187639409.75,19.282891029981265,56.80251012239748,,0.8432016757937054,99.29077309745554,0.5918281269544614,22771130.412992112,549.1866824479267,107.57426334625558,590.783528039097,-0.40566378675753817,-56.39836026576753
2026-04-06,20990845815775.0,22733280373198.75,-22.272122432313346,53.53378203453687,,1.2469346915350834,99.27970305642154,0.47166548454452834,26174213.852353897,426.8711521511645,159.0818480721269,679.0745177288532,-0.49914291671926314,-14.561336228627491
2026-04-13,20469273117201.0,22776399943866.25,-2.4847626586920524,38.93163154407968,,1.4914807275943518,99.27970305642154,0.45652954944317176,30529526.362170454,416.26441716178385,190.28062345235844,792.0705281857685,-0.6265634731791768,-14.03841512689516
2026-04-20,21883269650188.0,22587236246019.5,6.907898120714284,21.111016958568207,,1.846937871101556,99.27970305642154,0.4267303944883654,40417039.460459515,445.01953901210493,235.62925292223977,1048.5962151322183,-0.7768244707226719,-35.48210873878135
2026-04-27,23797756813570.0,21785286349183.5,8.748633974656306,0.3736546657313822,,1.0945927542158047,99.27970305642154,0.46976233846197324,26048852.17472352,483.95266959597683,139.64631781367862,675.8220830517799,-0.8759530921652857,19.435351350043074
2026-05-04,25731788579578.0,22970522040134.25,8.126949868254684,1.0435874763379704,,1.217799188490392,99.29975207797847,0.4547385233232745,31336151.250616428,523.2832604401221,155.36478919139708,812.9979344566651,-0.9748343519945143,5.687896819297977
2026-05-11,26905682372472.0,24579624353952.0,4.562037299753263,7.917073877038949,,1.2497253484287953,99.29975207797847,0.4763887195287427,33624713.27765207,547.1556379647656,159.43787542384038,872.3733244327822,-0.8121743406136696,4.6498437074600965
2026-05-18,28920204910828.0,26338858169112.0,7.487349737009885,16.609477504153002,,1.2301531940817725,99.29975207797847,0.528656612948676,35576282.444554426,588.1230941849552,156.9408926183943,923.0056337087885,-0.4917167221029644,11.751394497990995
2026-05-25,31807747787522.0,28341355912600.0,9.984517349020837,30.09402519816875,,1.3124621088209378,99.29975207797847,0.5359175526980938,41746463.73805565,646.8443465574503,167.44172667041502,1083.0873427457582,-0.45408476658300906,5.805316241004912
2026-06-01,36126105262907.0,30939935083432.25,13.576432711400788,34.69408761966222,,0.8840489535882083,99.29975207797847,0.5348740920357967,31937245.554890398,734.6627340153228,112.78549091444955,828.5929711246985,-0.4421164982921035,13.903172860524847
2026-06-08,44605812022870.0,35364967496031.75,23.472518552033517,43.87920249214729,,1.1375807358219032,95.68510578511112,0.5963106029567486,50742712.46290995,907.106580551946,145.13065280348457,1316.4897019784057,-0.5526672086165748,-25.979890070205713
2026-06-15,46647905566215.0,39796892659878.5,4.578088483845977,51.095740006485755,,1.1778355128086355,95.68510578511112,0.5814369639400884,54943559.77403165,948.6347224524037,150.26629010690826,1425.478204095193,-0.5492623121066696,-26.621286690472196
2026-06-22,46720348192435.0,43525042761106.75,0.1552966319509741,53.574313435569906,,1.0262335549439245,95.68510578511112,0.6017101295144658,47945989.013740525,950.1079202258899,130.92516519299582,1243.930364067483,-0.47784120872148034,-16.430080906307143
